Sr No,College Name,CollegeUrl,Email,Address,Contact No,TPO Name,TPO Number
115,Agnel Charities' FR. C. Rodrigues Institute of Technology   Vashi   Navi Mumbai,www.fcrit.ac.in,principalfcrit@gmail.com,Sector 9-A    Vashi   Navi Mumbai  ,227771000,,
116,Konkan Gyanpeeth College of Engineering   Karjat,www.kgce.edu.in,principal@kgce.edu.in,Vengaon Road   Dahivali   Karjat,222580,,
117,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering   Vile Parle  Mumbai,www.djsce.ac.in,info@djsce.ac.in,Plot No. U-15   J.V.P.D. Scheme   Bhaktivedanta Swami Marg   Vile Parle (West)   Mumbai,26123892,,
118,Hope Foundation and research center's  Finolex Academy of Management and Technology   Ratnagiri,www.famt.ac.in,admin@famt.ac.in,P- 60   P-60/1   MIDC   Mirjole Block   Ratnagiri,229657,,
119,Rizvi Education Society's Rizvi College of Engineering   Bandra  Mumbai,www.eng.rizvi.edu.in,info@eng.rizvi.edu.in,Rizvi Educational Complex   Off Carter Road   Sherly Rajan Village   Bandra (W)   Mumbai ,26043866,,
120,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,www.rmcet.com,info@rmcet.com,At - Ambav (Devrukh).Tal Sangameshwar  Dist.- Ratnagiri,269400,,
121,Atharva College of Engineering  Malad(West)  Mumbai,www.atharvaeducation.com,ace@atharvaeducation.com,S. No. 263   Plot No. 8-12   Malad-Marve Rd   Charkop Naka   Malad(W)   Mumbai,40294949,,
122,St. Francis Institute of Technology  Borivali   Mumbai,www.sfit.ac.in,sfedu@sfit.ac.in,Mount Poinsur   S.V.P. Road   Borivali ( W )   Mumbai ,28928585,,
123,Bharati Vidyapeeth College of Pharmacy   Belapur   Navi Mumbai,www.bvcop.in,bharaticop@rediffmail.com,Sector 8   C.B.D   Belapur   Dist Thane ,27571122,,
124,S.S.P.M.'s College of Engineering   Kankavli,www.sspmcoe.ac.in,sspmcoe@gmail.com, A/P-Harkul Budruk   Tal- Kankavali. Dist-Sindhudurg,233812,,
125,Mahatma Education Society's Pillai College of Engineering   New Panvel,www.pce.ac.in,principalpce@mes.ac.in,Dr. K.M.Vasudevan Pillais' Campus Plot No. 10   Sector 16   New Panvel   Dist.Raigad,27456100,,
126,Don Bosco Institute of Technology   Mumbai,www.dbit.in,dbit@dbit.in,Premier Automobiles Road  Opp. Fiat Company   Kurla (West)   Mumbai ,25042018,,
127,K J Somaiya Institute of Engineering and Information Technology   Sion   Mumbai,www.somaiya.edu/vidyavihar/kjsieit,principal.tech@somaiya.edu,Somaiya Auryvihar Complex    Near Everard Nagar Eastern Express Highway   Sion (East)   Mumbai,24080331,,
128,Excelsior Education Society's K.C. College of Engineering and Management Studies and Research   Kopri   Thane (E),www.kccoe.org,kcce21@hotmail.com,Mith bunder Road   Near Sadguru Gardens   Kopri   Thane (E),25327100,,
129,S.I.E.S. Graduate School of Technology   Nerul   Navi Mumbai,www.siesgst.edu.in,principalgst@sies.edu.in,Sri. Chandrsekarendra Saraswathy Vidyapuram   Sector-5   Plot 1C&1E   Nerul Dist. Raigad ,61082400,,
130,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY   ULHASNAGAR,www.watumull.edu,principal@watumull.edu,Plot No.157  C.H.M.Campus  Opp.Ullhasnagar Rilway Station  Ulhasnagar-421003(W),2567670,,
131,Xavier Institute Of Engineering C/O  Xavier Technical Institute  Mahim  Mumbai,www.xavier.ac.in,office@xavier.ac.in,Opposite S.L.Raheja Hospital   Mahim Causeway   Mahim(W)     Mumbai,24451961,,
132,Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology    Andheri   Mumbai,www.spit.ac.in,principal@spit.ac.in,Bhavan's Campus   Versova Road   Munshi Nagar   Andheri (West)   Mumbai,26287250,,
133,Gharda Foundation's Gharda Institute of Technology  Khed   Ratnagiri,www.git-india.edu.in,principal@git-india.edu.in,A & Po. Lavel Tal Khed    Dist. Ratnagiri,262798,,
134,Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology   Shahapur   Asangaon   Dist Thane,www.jondhleengg.org,vjtsscoe@rediffmail.com,At Asangaon   Tal Shahapur   Opp Railway station   Dist : Thane,273999,,
